Date,Open,High,Low,Close,Adj Close,Volume
2023-07-21,441.450012,441.450012,433.649994,434.500000,431.681305,4309067
2023-07-24,434.000000,437.549988,431.500000,432.950012,430.141388,3399581
2023-07-25,436.149994,450.500000,435.000000,449.500000,446.584015,8482756
2023-07-26,449.500000,451.649994,446.399994,449.000000,446.087250,4218466
2023-07-27,451.000000,459.600006,448.100006,451.399994,448.471680,5615100
2023-07-28,450.500000,452.649994,443.399994,451.500000,448.571045,3886408
2023-07-31,453.049988,463.250000,453.000000,462.600006,459.599030,4974267
2023-08-01,465.000000,471.549988,462.100006,464.100006,461.089294,6249656
2023-08-02,460.000000,461.200012,449.649994,454.500000,451.551575,5986653
2023-08-03,450.000000,458.500000,445.000000,453.299988,450.359344,4026983
2023-08-04,464.000000,466.000000,453.899994,457.000000,454.035339,7576934
2023-08-07,459.200012,467.350006,459.149994,464.850006,461.834442,3770469
2023-08-08,464.850006,467.250000,452.000000,454.750000,451.799957,6448476
2023-08-09,454.750000,469.799988,450.899994,468.899994,465.858154,6171305
2023-08-10,468.000000,471.000000,463.000000,468.899994,465.858154,4285159
2023-08-11,467.000000,470.000000,460.000000,462.450012,459.450012,4422888
2023-08-14,458.600006,458.600006,447.600006,450.799988,450.799988,4566085
2023-08-16,447.000000,448.000000,439.000000,445.200012,445.200012,5066857
2023-08-17,443.000000,449.250000,440.500000,447.600006,447.600006,3558210
2023-08-18,447.500000,447.500000,438.149994,439.500000,439.500000,3990678
2023-08-21,443.000000,450.850006,439.899994,449.399994,449.399994,3775298
2023-08-22,449.750000,454.399994,448.350006,450.350006,450.350006,3254685
2023-08-23,454.700012,465.299988,452.899994,461.250000,461.250000,9182054
2023-08-24,464.000000,465.899994,453.850006,456.500000,456.500000,5950400
2023-08-25,453.000000,454.299988,448.899994,450.000000,450.000000,3304204
2023-08-28,450.549988,452.850006,445.500000,446.299988,446.299988,4259997
2023-08-29,448.000000,458.500000,447.350006,456.049988,456.049988,6062408
2023-08-30,460.200012,465.149994,455.750000,456.750000,456.750000,5510658
2023-08-31,462.250000,465.000000,456.750000,459.850006,459.850006,9294166
2023-09-01,462.950012,478.500000,462.100006,473.250000,473.250000,11151562
2023-09-04,477.600006,492.299988,475.000000,486.649994,486.649994,10359653
2023-09-05,486.000000,489.750000,478.200012,486.100006,486.100006,4941534
2023-09-06,484.899994,484.899994,474.250000,478.149994,478.149994,5138246
2023-09-07,475.549988,479.500000,473.549988,475.100006,475.100006,4055611
2023-09-08,473.000000,478.799988,467.700012,476.149994,476.149994,5637990
2023-09-11,478.000000,487.799988,476.450012,484.850006,484.850006,5959943
